Categoria del delito,Clasificacion de edad,Clave_Ent,Modalidad,Sexo,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
1.0,1.0,1,1.0,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1,1.0,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1,1.0,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1,1.0,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1,1.0,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1,1.0,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1,,2.0,1,1,1,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,1.0,1,1.0,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1,1.0,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1,1.0,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1,1.0,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1,1.0,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1,1.0,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1,1.0,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1,1.0,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1,,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1,1.0,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1,1.0,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1,1.0,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1,1.0,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1,1.0,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1,1.0,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1,,2.0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,1,2.0,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,1,,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,1,,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,1,,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,1,2.0,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1.0,1,,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,1,,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,1,,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1.0,1,,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1.0,1,,2.0,2,3,4,6,3,4.0,3.0,6.0,5.0,6.0,4.0,2.0
2.0,1.0,1,,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,1.0,1,,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,,1,1.0,2.0,1,0,3,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,,1,1.0,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,,1,1.0,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
1.0,,1,1.0,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,,1,1.0,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,,1,1.0,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,,1,,2.0,3,1,2,1,3,1.0,2.0,1.0,3.0,3.0,2.0,6.0
1.0,,1,1.0,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,,1,1.0,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,,1,1.0,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,,1,1.0,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,,1,1.0,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,,1,1.0,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,,1,1.0,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,,1,1.0,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,,1,,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,,1,1.0,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,,1,1.0,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,,1,1.0,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,,1,1.0,2.0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,,1,1.0,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,,1,1.0,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,,1,,2.0,3,2,0,5,3,0.0,0.0,3.0,0.0,0.0,0.0,1.0
2.0,,1,2.0,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,,1,,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,,1,,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,,1,,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,,1,2.0,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,1,,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,,1,,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,,1,,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,1,,2.0,5,5,3,2,4,0.0,1.0,3.0,3.0,9.0,5.0,1.0
,,1,,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,,1,,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4.0,,1,,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,,1,1.0,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,,1,1.0,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,,1,1.0,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,,1,1.0,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,,1,1.0,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,,1,1.0,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,,1,,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,,1,1.0,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,,1,1.0,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,,1,1.0,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,,1,1.0,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,,1,1.0,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,,1,1.0,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,,1,1.0,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,,1,1.0,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,,1,,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
