caso_id,circunscripcion_id,circunscripcion_descripcion,unidad_id,unidad_descripcion,caso_fecha_inicio,caso_fecha_hecho,caso_hora_hecho,caso_cantidad_autores_identificados,caso_cantidad_autores_no_identificados,caso_cantidad_menores_involucrados_identificados,delito_codigo,delito_descripcion,delito_tentativa,delito_estadistico,fecha_envio
C-102456,C-12,Rosario,C-204,Fiscalía Federal Nro. 2 de Santa Fe,2018-10-16,s/d,s/d,-1,,0,,,,Sin informar,2019-09-10
C-102501,C-6,General Roca,C-192,Fiscalía Federal de Viedma,2018-10-26,2018-10-26,10:00:00.0000000,2,,0,C-2130,"Comercio o tenencia con fines de comercialización, distribución, dación en pago, almacenamiento o transporte de estupefacientes, precursores químicos o materias primas",NO,Estupefacientes,2019-09-10
C-106000,C-12,Rosario,C-208,Fiscalía Federal de Rafaela,2018-10-09,2018-10-05,07:00:00.0000000,1,,0,C-2130,"Comercio o tenencia con fines de comercialización, distribución, dación en pago, almacenamiento o transporte de estupefacientes, precursores químicos o materias primas",NO,Estupefacientes,2019-09-10
C-13119,C-3,Comodoro Rivadavia,C-299,Fiscalía General ante TOF de Tierra del Fuego,2018-06-15,2017-10-10,09:30:00.0000000,1,,0,C-2130,"Comercio o tenencia con fines de comercialización, distribución, dación en pago, almacenamiento o transporte de estupefacientes, precursores químicos o materias primas",NO,Estupefacientes,2019-09-10
C-13119,C-3,Comodoro Rivadavia,C-299,Fiscalía General ante TOF de Tierra del Fuego,2018-06-15,2017-10-10,09:30:00.0000000,1,,0,C-2146,Contrabando de estupefacientes o precursores químicos agravado o con fines de comercialización,SI,Estupefacientes,2019-09-10
C-20738,C-7,La Plata,C-236,Fiscalía Federal Nro. 1 de Lomas de Zamora,2018-01-02,2017-11-30,18:00:00.0000000,0,,0,C-1536,"Omisión, rechazo o retardo de actos de oficio",NO,Sin clasificar,2019-09-10
C-20740,C-15,San Martín,C-231,Fiscalía Federal Nro. 1 de Morón,2018-01-02,s/d,s/d,-1,,0,,,,Sin informar,2019-09-10
C-20741,C-6,General Roca,C-194,Fiscalía Federal de Bariloche,2018-01-02,2017-11-01,00:00:00.0000000,-1,,0,C-2210,Pornografía de menores de 18 año y organización de espectáculos sexuales con participación de menores,NO,Pornografía infantil,2019-09-10
C-20742,C-12,Rosario,C-205,Fiscalía Federal Nro. 2 de Rosario,2018-01-02,2017-12-30,00:00:00.0000000,1,,0,C-2130,"Comercio o tenencia con fines de comercialización, distribución, dación en pago, almacenamiento o transporte de estupefacientes, precursores químicos o materias primas",NO,Estupefacientes,2019-09-10
C-20743,C-16,Tucumán,C-214,Fiscalía Federal Nro. 1 de Tucumán,2018-01-02,2017-09-03,10:50:00.0000000,-1,,0,C-1271,Tentativa de contrabando,SI,Contrabando,2019-09-10
C-20744,C-15,San Martín,C-231,Fiscalía Federal Nro. 1 de Morón,2018-01-02,s/d,s/d,-1,,0,,,,Sin informar,2019-09-10
C-20745,C-3,Comodoro Rivadavia,C-148,Fiscalía Federal de Esquel,2018-01-02,2017-12-11,08:00:00.0000000,0,,0,C-205,Daño doloso,NO,Daños,2019-09-10
C-20746,C-13,Resistencia,C-145,Fiscalía Federal de Roque Sáenz Peña,2018-01-02,s/d,s/d,-1,,0,,,,Sin informar,2019-09-10
C-20747,C-13,Resistencia,C-145,Fiscalía Federal de Roque Sáenz Peña,2018-01-02,s/d,s/d,-1,,0,,,,Sin informar,2019-09-10
C-20748,C-16,Tucumán,C-214,Fiscalía Federal Nro. 1 de Tucumán,2018-01-02,2017-09-08,11:30:00.0000000,-1,,0,,,,Sin informar,2019-09-10
C-20749,C-13,Resistencia,C-145,Fiscalía Federal de Roque Sáenz Peña,2018-01-02,s/d,s/d,-1,,0,,,,Sin informar,2019-09-10
C-20750,C-16,Tucumán,C-214,Fiscalía Federal Nro. 1 de Tucumán,2018-01-02,2017-09-14,13:14:00.0000000,-1,,0,C-1873,Contrabando,SI,Contrabando,2019-09-10
C-20751,C-11,Posadas,C-12,Fiscalía Federal en lo Civil y Comercial Nro. 2 de Posadas,2018-01-02,s/d,s/d,-1,,0,,,,Sin informar,2019-09-10
C-20752,C-1,Bahía Blanca,C-222,Fiscalía Federal Nro. 1 de Bahía Blanca,2018-01-02,2017-08-29,12:00:00.0000000,2,,0,C-307,Resistencia o desobediencia a funcionario público o quien preste asistencia,NO,Resistencia o desobediencia a un funcionario público,2019-09-10
C-20753,C-7,La Plata,C-234,Fiscalía Federal Nro. 2 de Lomas de Zamora,2018-01-02,s/d,s/d,-1,,0,,,,Sin informar,2019-09-10
