Etiqueta,delito,alcaldia_hecho,hora_clasificada
1,11.0,5.0,3.0
2,21.0,7.0,3.0
3,31.0,11.0,3.0
3,32.0,4.0,3.0
2,22.0,10.0,3.0
1,11.0,4.0,3.0
1,12.0,1.0,3.0
2,22.0,1.0,3.0
1,11.0,1.0,3.0
3,32.0,1.0,3.0
2,22.0,1.0,3.0
3,32.0,1.0,3.0
2,23.0,1.0,3.0
2,21.0,1.0,3.0
2,21.0,10.0,3.0
2,23.0,4.0,3.0
2,23.0,4.0,3.0
2,23.0,1.0,3.0
2,22.0,10.0,3.0
2,22.0,4.0,3.0
2,23.0,1.0,3.0
2,21.0,4.0,3.0
3,32.0,1.0,3.0
2,21.0,10.0,3.0
2,21.0,1.0,3.0
1,11.0,1.0,3.0
2,21.0,10.0,3.0
3,31.0,2.0,3.0
3,31.0,5.0,3.0
3,32.0,4.0,3.0
3,32.0,4.0,3.0
2,23.0,1.0,3.0
2,23.0,9.0,3.0
2,23.0,1.0,3.0
1,12.0,1.0,3.0
1,11.0,1.0,3.0
2,21.0,4.0,3.0
2,22.0,1.0,3.0
2,23.0,1.0,3.0
2,23.0,1.0,3.0
2,22.0,1.0,3.0
3,33.0,10.0,3.0
3,31.0,2.0,3.0
1,11.0,4.0,3.0
2,23.0,4.0,3.0
3,32.0,4.0,3.0
3,31.0,10.0,3.0
2,21.0,4.0,3.0
2,21.0,1.0,3.0
2,22.0,4.0,3.0
2,23.0,8.0,3.0
2,23.0,1.0,3.0
3,31.0,1.0,3.0
2,23.0,1.0,3.0
2,23.0,4.0,3.0
2,23.0,1.0,3.0
2,21.0,4.0,3.0
2,21.0,1.0,3.0
2,23.0,1.0,3.0
1,13.0,4.0,3.0
1,11.0,5.0,3.0
3,31.0,5.0,3.0
2,23.0,4.0,3.0
3,32.0,4.0,3.0
3,31.0,10.0,3.0
2,22.0,1.0,3.0
2,23.0,1.0,3.0
2,21.0,1.0,3.0
3,32.0,1.0,3.0
2,22.0,1.0,3.0
2,23.0,1.0,3.0
2,21.0,4.0,3.0
2,21.0,1.0,3.0
3,31.0,2.0,3.0
2,21.0,10.0,3.0
1,11.0,4.0,3.0
