0,1,2,3,4,5,6,etiqueta
2,1.0,1.0,2.0,1.0,1.0,1.0,clase2
2,1.0,1.0,2.0,1.0,1.0,1.0,clase2
2,1.0,1.0,2.0,1.0,1.0,1.0,clase2
2,1.0,1.0,2.0,1.0,1.0,1.0,clase2
2,1.0,1.0,2.0,1.0,1.0,1.0,clase2
2,1.0,1.0,2.0,1.0,1.0,1.0,clase2
2,1.0,1.0,2.0,1.0,1.0,1.0,clase2
2,1.0,1.0,2.0,1.0,1.0,1.0,clase2
1,1.0,1.0,2.0,1.0,1.0,1.0,clase1
1,1.0,1.0,2.0,1.0,1.0,1.0,clase1
1,1.0,1.0,2.0,1.0,1.0,1.0,clase1
1,1.0,1.0,2.0,1.0,1.0,1.0,clase1
1,1.0,1.0,2.0,1.0,1.0,1.0,clase1
1,1.0,1.0,2.0,1.0,1.0,1.0,clase1
1,1.0,1.0,2.0,1.0,1.0,1.0,clase1
1,1.0,1.0,2.0,1.0,1.0,1.0,clase1
3,1.0,1.0,2.0,1.0,1.0,1.0,clase3
3,1.0,1.0,2.0,1.0,1.0,1.0,clase3
3,1.0,1.0,2.0,1.0,1.0,1.0,clase3
4,1.0,2.0,2.0,1.0,2.0,1.0,clase4
4,1.0,1.0,2.0,1.0,2.0,1.0,clase4
4,1.0,1.0,2.0,1.0,2.0,1.0,clase4
4,1.0,1.0,2.0,1.0,2.0,1.0,clase4
2,1.0,1.0,2.0,2.0,1.0,1.0,clase2
2,1.0,1.0,2.0,2.0,1.0,1.0,clase2
2,1.0,1.0,2.0,2.0,1.0,1.0,clase2
2,1.0,1.0,2.0,2.0,1.0,1.0,clase2
2,1.0,1.0,2.0,2.0,1.0,1.0,clase2
2,1.0,1.0,2.0,2.0,1.0,1.0,clase2
2,1.0,1.0,2.0,2.0,1.0,1.0,clase2
2,1.0,1.0,2.0,2.0,1.0,1.0,clase2
1,1.0,1.0,2.0,2.0,1.0,1.0,clase1
1,1.0,1.0,2.0,2.0,1.0,1.0,clase1
1,1.0,1.0,2.0,2.0,1.0,1.0,clase1
1,1.0,1.0,2.0,2.0,1.0,1.0,clase1
1,1.0,1.0,2.0,2.0,1.0,1.0,clase1
1,1.0,1.0,2.0,2.0,1.0,1.0,clase1
3,1.0,1.0,2.0,2.0,1.0,1.0,clase3
3,1.0,1.0,2.0,2.0,1.0,1.0,clase3
3,1.0,1.0,2.0,2.0,1.0,1.0,clase3
4,1.0,2.0,2.0,2.0,2.0,1.0,clase4
4,1.0,1.0,2.0,2.0,2.0,1.0,clase4
4,1.0,1.0,2.0,2.0,2.0,1.0,clase4
4,1.0,2.0,2.0,2.0,2.0,1.0,clase4
2,1.0,1.0,2.0,1.0,1.0,1.0,clase2
2,1.0,1.0,2.0,1.0,1.0,1.0,clase2
2,1.0,1.0,2.0,1.0,1.0,1.0,clase2
2,1.0,1.0,2.0,1.0,1.0,1.0,clase2
2,1.0,1.0,2.0,1.0,1.0,1.0,clase2
2,1.0,1.0,2.0,1.0,1.0,1.0,clase2
2,1.0,1.0,2.0,1.0,1.0,1.0,clase2
2,1.0,1.0,2.0,1.0,1.0,1.0,clase2
1,1.0,1.0,2.0,1.0,1.0,1.0,clase1
1,1.0,1.0,2.0,1.0,1.0,1.0,clase1
1,1.0,1.0,2.0,1.0,1.0,1.0,clase1
1,1.0,1.0,2.0,1.0,1.0,1.0,clase1
1,1.0,1.0,2.0,1.0,1.0,1.0,clase1
1,1.0,1.0,2.0,1.0,1.0,1.0,clase1
1,1.0,1.0,2.0,1.0,1.0,1.0,clase1
1,1.0,1.0,2.0,1.0,1.0,1.0,clase1
3,1.0,1.0,2.0,1.0,1.0,1.0,clase3
3,1.0,1.0,2.0,1.0,1.0,1.0,clase3
3,1.0,1.0,2.0,1.0,1.0,1.0,clase3
4,1.0,1.0,2.0,1.0,2.0,1.0,clase4
2,1.0,1.0,1.0,1.0,1.0,1.0,clase2
2,1.0,1.0,1.0,1.0,1.0,1.0,clase2
2,1.0,1.0,1.0,1.0,1.0,1.0,clase2
2,1.0,1.0,1.0,1.0,1.0,1.0,clase2
2,1.0,1.0,1.0,1.0,1.0,1.0,clase2
2,1.0,1.0,1.0,1.0,1.0,1.0,clase2
2,1.0,1.0,1.0,1.0,1.0,1.0,clase2
1,1.0,1.0,1.0,1.0,1.0,1.0,clase1
1,1.0,1.0,1.0,1.0,1.0,1.0,clase1
1,1.0,1.0,1.0,1.0,1.0,1.0,clase1
1,1.0,1.0,1.0,1.0,1.0,1.0,clase1
1,1.0,1.0,1.0,1.0,1.0,1.0,clase1
1,1.0,1.0,1.0,1.0,1.0,1.0,clase1
1,1.0,1.0,1.0,1.0,1.0,1.0,clase1
1,1.0,1.0,1.0,1.0,1.0,1.0,clase1
4,1.0,2.0,1.0,1.0,2.0,1.0,clase4
4,1.0,1.0,1.0,1.0,2.0,1.0,clase4
4,1.0,1.0,1.0,1.0,2.0,1.0,clase4
4,1.0,1.0,1.0,1.0,2.0,1.0,clase4
4,1.0,2.0,1.0,1.0,2.0,1.0,clase4
2,1.0,1.0,1.0,2.0,1.0,1.0,clase2
2,1.0,1.0,1.0,2.0,1.0,1.0,clase2
2,1.0,1.0,1.0,2.0,1.0,1.0,clase2
2,1.0,1.0,1.0,2.0,1.0,1.0,clase2
2,1.0,1.0,1.0,2.0,1.0,1.0,clase2
2,1.0,1.0,1.0,2.0,1.0,1.0,clase2
2,1.0,1.0,1.0,2.0,1.0,1.0,clase2
1,1.0,1.0,1.0,2.0,1.0,1.0,clase1
1,1.0,1.0,1.0,2.0,1.0,1.0,clase1
1,1.0,1.0,1.0,2.0,1.0,1.0,clase1
1,1.0,1.0,1.0,2.0,1.0,1.0,clase1
1,1.0,1.0,1.0,2.0,1.0,1.0,clase1
1,1.0,1.0,1.0,2.0,1.0,1.0,clase1
1,1.0,1.0,1.0,2.0,1.0,1.0,clase1
1,1.0,1.0,1.0,2.0,1.0,1.0,clase1
4,1.0,2.0,1.0,2.0,2.0,1.0,clase4
4,1.0,1.0,1.0,2.0,2.0,1.0,clase4
4,1.0,1.0,1.0,2.0,2.0,1.0,clase4
4,1.0,2.0,1.0,2.0,2.0,1.0,clase4
2,1.0,1.0,1.0,1.0,1.0,1.0,clase2
2,1.0,1.0,1.0,1.0,1.0,1.0,clase2
2,1.0,1.0,1.0,1.0,1.0,1.0,clase2
2,1.0,1.0,1.0,1.0,1.0,1.0,clase2
2,1.0,1.0,1.0,1.0,1.0,1.0,clase2
2,1.0,1.0,1.0,1.0,1.0,1.0,clase2
1,1.0,1.0,1.0,1.0,1.0,1.0,clase1
1,1.0,1.0,1.0,1.0,1.0,1.0,clase1
1,1.0,1.0,1.0,1.0,1.0,1.0,clase1
1,1.0,1.0,1.0,1.0,1.0,1.0,clase1
1,1.0,1.0,1.0,1.0,1.0,1.0,clase1
1,1.0,1.0,1.0,1.0,1.0,1.0,clase1
1,1.0,1.0,1.0,1.0,1.0,1.0,clase1
4,1.0,1.0,1.0,1.0,2.0,1.0,clase4
4,1.0,1.0,1.0,1.0,2.0,1.0,clase4
4,1.0,1.0,1.0,1.0,2.0,1.0,clase4
4,1.0,2.0,1.0,1.0,2.0,1.0,clase4
2,1.0,1.0,2.0,1.0,1.0,1.0,clase2
2,1.0,1.0,2.0,1.0,1.0,1.0,clase2
2,1.0,1.0,2.0,1.0,1.0,1.0,clase2
2,1.0,1.0,2.0,1.0,1.0,1.0,clase2
2,1.0,1.0,2.0,1.0,1.0,1.0,clase2
2,1.0,1.0,2.0,1.0,1.0,1.0,clase2
2,1.0,1.0,2.0,1.0,1.0,1.0,clase2
2,1.0,1.0,2.0,1.0,1.0,1.0,clase2
1,1.0,1.0,2.0,1.0,1.0,1.0,clase1
1,1.0,1.0,2.0,1.0,1.0,1.0,clase1
1,1.0,1.0,2.0,1.0,1.0,1.0,clase1
1,1.0,1.0,2.0,1.0,1.0,1.0,clase1
1,1.0,1.0,2.0,1.0,1.0,1.0,clase1
1,1.0,1.0,2.0,1.0,1.0,1.0,clase1
1,1.0,1.0,2.0,1.0,1.0,1.0,clase1
1,1.0,1.0,2.0,1.0,1.0,1.0,clase1
1,1.0,1.0,2.0,1.0,1.0,1.0,clase1
4,1.0,2.0,2.0,1.0,2.0,1.0,clase4
4,1.0,1.0,2.0,1.0,2.0,1.0,clase4
4,1.0,1.0,2.0,1.0,2.0,1.0,clase4
4,1.0,1.0,2.0,1.0,2.0,1.0,clase4
4,1.0,2.0,2.0,1.0,2.0,1.0,clase4
2,2.0,1.0,2.0,1.0,1.0,1.0,clase2
