Clave_Ent,Tipo de delito,Modalidad,Sexo,Rango de edad,Categoria del delito,Clasificacion de edad
1,Homicidio,1.0,2.0,1,1.0,1.0
1,Homicidio,1.0,2.0,1,1.0,1.0
1,Homicidio,1.0,2.0,1,1.0,1.0
1,Homicidio,1.0,2.0,1,1.0,1.0
1,Homicidio,1.0,2.0,1,1.0,1.0
1,Homicidio,1.0,2.0,1,1.0,1.0
1,Homicidio,,2.0,1,1.0,1.0
1,Homicidio,1.0,2.0,1,1.0,1.0
1,Homicidio,1.0,2.0,1,1.0,1.0
1,Lesiones,1.0,2.0,1,1.0,1.0
1,Lesiones,1.0,2.0,1,1.0,1.0
1,Lesiones,1.0,2.0,1,1.0,1.0
1,Lesiones,1.0,2.0,1,1.0,1.0
1,Lesiones,1.0,2.0,1,1.0,1.0
1,Lesiones,1.0,2.0,1,1.0,1.0
1,Lesiones,,2.0,1,1.0,1.0
1,Lesiones,1.0,2.0,1,1.0,1.0
1,Lesiones,1.0,2.0,1,1.0,1.0
1,Feminicidio,1.0,2.0,1,1.0,1.0
1,Feminicidio,1.0,2.0,1,1.0,1.0
1,Feminicidio,1.0,2.0,1,1.0,1.0
1,Feminicidio,1.0,2.0,1,1.0,1.0
1,Secuestro,2.0,2.0,1,2.0,1.0
1,Secuestro,,2.0,1,2.0,1.0
1,Secuestro,,2.0,1,2.0,1.0
1,Secuestro,,2.0,1,2.0,1.0
1,Secuestro,2.0,2.0,1,2.0,1.0
1,Homicidio,1.0,2.0,2,1.0,
1,Homicidio,1.0,2.0,2,1.0,
1,Homicidio,1.0,2.0,2,1.0,
1,Homicidio,1.0,2.0,2,1.0,
1,Homicidio,1.0,2.0,2,1.0,
1,Homicidio,1.0,2.0,2,1.0,
1,Homicidio,,2.0,2,1.0,
1,Homicidio,1.0,2.0,2,1.0,
1,Homicidio,1.0,2.0,2,1.0,
1,Lesiones,1.0,2.0,2,1.0,
1,Lesiones,1.0,2.0,2,1.0,
1,Lesiones,1.0,2.0,2,1.0,
1,Lesiones,1.0,2.0,2,1.0,
1,Lesiones,1.0,2.0,2,1.0,
1,Lesiones,1.0,2.0,2,1.0,
1,Lesiones,,2.0,2,1.0,
1,Lesiones,1.0,2.0,2,1.0,
1,Lesiones,1.0,2.0,2,1.0,
1,Feminicidio,1.0,2.0,2,1.0,
1,Feminicidio,1.0,2.0,2,1.0,
1,Feminicidio,1.0,2.0,2,1.0,
1,Feminicidio,1.0,2.0,2,1.0,
1,Secuestro,2.0,2.0,2,2.0,
1,Secuestro,,2.0,2,2.0,
1,Secuestro,,2.0,2,2.0,
1,Secuestro,,2.0,2,2.0,
1,Secuestro,2.0,2.0,2,2.0,
1,Homicidio,1.0,2.0,,1.0,
1,Homicidio,1.0,2.0,,1.0,
1,Homicidio,1.0,2.0,,1.0,
1,Homicidio,1.0,2.0,,1.0,
1,Homicidio,1.0,2.0,,1.0,
1,Homicidio,1.0,2.0,,1.0,
1,Homicidio,,2.0,,1.0,
1,Homicidio,1.0,2.0,,1.0,
1,Homicidio,1.0,2.0,,1.0,
1,Lesiones,1.0,2.0,,1.0,
1,Lesiones,1.0,2.0,,1.0,
1,Lesiones,1.0,2.0,,1.0,
1,Lesiones,1.0,2.0,,1.0,
1,Lesiones,1.0,2.0,,1.0,
1,Lesiones,1.0,2.0,,1.0,
1,Lesiones,,2.0,,1.0,
1,Lesiones,1.0,2.0,,1.0,
1,Lesiones,1.0,2.0,,1.0,
1,Feminicidio,1.0,2.0,,1.0,
1,Feminicidio,1.0,2.0,,1.0,
1,Feminicidio,1.0,2.0,,1.0,
1,Feminicidio,1.0,2.0,,1.0,
1,Secuestro,2.0,2.0,,2.0,
1,Secuestro,,2.0,,2.0,
1,Secuestro,,2.0,,2.0,
1,Secuestro,,2.0,,2.0,
1,Secuestro,2.0,2.0,,2.0,
1,Homicidio,1.0,1.0,1,1.0,1.0
1,Homicidio,1.0,1.0,1,1.0,1.0
1,Homicidio,1.0,1.0,1,1.0,1.0
1,Homicidio,1.0,1.0,1,1.0,1.0
1,Homicidio,1.0,1.0,1,1.0,1.0
1,Homicidio,1.0,1.0,1,1.0,1.0
1,Homicidio,,1.0,1,1.0,1.0
1,Homicidio,1.0,1.0,1,1.0,1.0
1,Homicidio,1.0,1.0,1,1.0,1.0
1,Lesiones,1.0,1.0,1,1.0,1.0
1,Lesiones,1.0,1.0,1,1.0,1.0
1,Lesiones,1.0,1.0,1,1.0,1.0
1,Lesiones,1.0,1.0,1,1.0,1.0
1,Lesiones,1.0,1.0,1,1.0,1.0
1,Lesiones,1.0,1.0,1,1.0,1.0
1,Lesiones,,1.0,1,1.0,1.0
1,Lesiones,1.0,1.0,1,1.0,1.0
1,Lesiones,1.0,1.0,1,1.0,1.0
1,Secuestro,2.0,1.0,1,2.0,1.0
1,Secuestro,,1.0,1,2.0,1.0
1,Secuestro,,1.0,1,2.0,1.0
1,Secuestro,,1.0,1,2.0,1.0
1,Secuestro,2.0,1.0,1,2.0,1.0
1,Homicidio,1.0,1.0,2,1.0,
1,Homicidio,1.0,1.0,2,1.0,
1,Homicidio,1.0,1.0,2,1.0,
1,Homicidio,1.0,1.0,2,1.0,
1,Homicidio,1.0,1.0,2,1.0,
1,Homicidio,1.0,1.0,2,1.0,
1,Homicidio,,1.0,2,1.0,
1,Homicidio,1.0,1.0,2,1.0,
1,Homicidio,1.0,1.0,2,1.0,
1,Lesiones,1.0,1.0,2,1.0,
1,Lesiones,1.0,1.0,2,1.0,
1,Lesiones,1.0,1.0,2,1.0,
1,Lesiones,1.0,1.0,2,1.0,
1,Lesiones,1.0,1.0,2,1.0,
1,Lesiones,1.0,1.0,2,1.0,
1,Lesiones,,1.0,2,1.0,
1,Lesiones,1.0,1.0,2,1.0,
1,Lesiones,1.0,1.0,2,1.0,
1,Secuestro,2.0,1.0,2,2.0,
1,Secuestro,,1.0,2,2.0,
1,Secuestro,,1.0,2,2.0,
1,Secuestro,,1.0,2,2.0,
1,Secuestro,2.0,1.0,2,2.0,
1,Homicidio,1.0,1.0,,1.0,
1,Homicidio,1.0,1.0,,1.0,
1,Homicidio,1.0,1.0,,1.0,
1,Homicidio,1.0,1.0,,1.0,
1,Homicidio,1.0,1.0,,1.0,
1,Homicidio,1.0,1.0,,1.0,
